n = 14
number of lcs = 70
x = 3171; y = 10922
x = 3185; y = 10922
x = 3187; y = 10922
x = 3299; y = 10922
x = 3633; y = 10922
x = 3635; y = 10922
x = 3641; y = 10922
x = 3683; y = 10922
x = 3697; y = 10922
x = 3699; y = 10922
x = 5461; y = 8988
x = 5461; y = 9100
x = 5461; y = 9102
x = 5461; y = 9116
x = 5461; y = 9830
x = 5461; y = 10012
x = 5461; y = 12684
x = 5461; y = 12686
x = 5461; y = 12700
x = 5461; y = 12742
x = 5461; y = 12748
x = 5461; y = 12750
x = 5461; y = 13084
x = 5461; y = 13196
x = 5461; y = 13198
x = 5461; y = 13212
x = 6371; y = 10922
x = 6553; y = 10922
x = 7267; y = 10922
x = 7281; y = 10922
x = 7283; y = 10922
x = 7395; y = 10922
